#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
1868;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1869;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1870;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1871;20/08/2026 14:19:52;IRP_MJ_WRITE;DOWN;STATUS_PENDING;0c ;".";1;1;COM5;;
1872;20/08/2026 14:19:52;IRP_MJ_WRITE;UP;STATUS_SUCCESS;0c ;".";1;;COM5;;
1873;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1874;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1875;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;0c ;".";1;;COM5;;
1876;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1877;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1878;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1879;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1880;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1881;20/08/2026 14:19:52;IRP_MJ_READ;UP;STATUS_SUCCESS;03 ;".";1;;COM5;;
1882;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1883;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1884;20/08/2026 14:19:52;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1885;20/08/2026 14:19:52;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1886;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1887;20/08/2026 14:19:53;IRP_MJ_READ;UP;STATUS_SUCCESS;09 ;".";1;;COM5;;
1888;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
1889;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"....................";20;;COM5;;
1890;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;STATUS_PENDING;;"";;;COM5;;
1891;20/08/2026 14:19:53;IRP_MJ_READ;DOWN;STATUS_PENDING;;"";;1;COM5;;
1892;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 00 00 00 ;"....";4;;COM5;;
1893;20/08/2026 14:19:53;IRP_MJ_READ;UP;STATUS_SUCCESS;00 ;".";1;;COM5;;
1894;20/08/2026 14:19:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;STATUS_PENDING;;"";;;COM5;;
